"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"1","00R_AC107638.2",0,0,0,0,0,0,0,0,0,0,0,0,"00R_AC107638.2"
"2","00R_Pgap2",0,0,0,0,0,0,0,0,0,0,0,0,"00R_PGAP2"
"3","0610005C13Rik",0,0,2.8,1.6,0,6.4,0.9,0,3,0,0,1,"0610005C13RIK"
"4","0610006L08Rik",0,1.1,0,0.8,0,0,0,0,0,0,0,1,"0610006L08RIK"
"5","0610007P14Rik",737.7,809.1,862.4,919.5,825.4,946.2,800.9,913.3,787.3,825.4,802.9,775.5,"0610007P14RIK"
"6","0610009B22Rik",127.1,165.1,110.7,95.8,108,119.1,159.4,128.3,142.2,121.9,164.5,156.6,"0610009B22RIK"
"7","0610009E02Rik",20.9,33.9,13.8,29.2,23.1,28.7,42.4,30.8,30.5,29,34.1,33.8,"0610009E02RIK"
"8","0610009L18Rik",38.9,36.1,23.1,22.7,30.3,39.3,48.8,15.9,34.5,38,40.2,25.1,"0610009L18RIK"
"9","0610009O20Rik",874.2,860.5,772,969,897,917.5,893,928.2,851.3,981.2,867.5,839.3,"0610009O20RIK"
"10","0610010F05Rik",534.8,630.9,556.2,396.8,586.3,459.3,582.4,515.3,530.3,474.6,543.4,550.2,"0610010F05RIK"
"11","0610010K14Rik",23.7,16.4,18.4,13.8,10.9,17,23,10.9,21.3,31,24.4,15.5,"0610010K14RIK"
"12","0610012D04Rik",0,1.1,0,2.4,2.4,4.3,0,0,0,5,1.2,0,"0610012D04RIK"
"13","0610012G03Rik",529.1,494.2,392,450.4,485.5,610.2,549.3,364.1,664.4,561.6,763.9,512.5,"0610012G03RIK"
"14","0610025J13Rik",0,0,0,0.8,0,0,0.9,0,0,0,3.7,0,"0610025J13RIK"
"15","0610030E20Rik",615.4,554.4,871.6,652.5,651.8,497.6,586.1,777,625.8,492.6,610.4,577.3,"0610030E20RIK"
"16","0610031O16Rik",0,0,0,0,0,0,0,0,1,0,0,0,"0610031O16RIK"
"17","0610033M10Rik",0,0,0,0,1.2,1.1,0,0,0,4,0,0,"0610033M10RIK"
"18","0610037L13Rik",965.2,1024.5,1273.7,990.1,1011.1,1097.2,1134.5,1259.5,1178.4,1070.2,1254.9,1024,"0610037L13RIK"
"19","0610038B21Rik",1.9,5.5,0.9,0,3.6,5.3,0.9,1,2,2,2.4,5.8,"0610038B21RIK"
"20","0610039K10Rik",3.8,0,0,0,1.2,0,0,3,1,0,2.4,0,"0610039K10RIK"
"21","0610040B10Rik",23.7,37.2,18.4,23.5,23.1,23.4,52.5,39.8,28.4,30,28,23.2,"0610040B10RIK"
"22","0610040F04Rik",47.4,26.2,63.6,18.7,34,42.5,35.9,55.7,44.7,20,37.8,44.5,"0610040F04RIK"
"23","0610040J01Rik",107.1,84.2,110.7,116.1,95.9,86.1,90.3,134.3,90.4,89.9,92.6,66.7,"0610040J01RIK"
"24","0610043K17Rik",18,10.9,26.7,17.9,13.4,20.2,30.4,29.8,18.3,18,39,20.3,"0610043K17RIK"
"25","1010001B22Rik",15.2,14.2,13.8,22.7,3.6,11.7,11.1,15.9,15.2,10,12.2,25.1,"1010001B22RIK"
"26","1010001N08Rik",0,0,0,0.8,0,0,0,0,0,0,0,0,"1010001N08RIK"
"27","1110002E22Rik",47.4,56.9,74.7,47.9,64.3,76.5,88.5,63.7,63,69.9,88.9,38.7,"1110002E22RIK"
"28","1110002J07Rik",10.4,17.5,9.2,13.8,13.4,18.1,15.7,12.9,7.1,8,4.9,8.7,"1110002J07RIK"
"29","1110002L01Rik",339.4,320.4,277.6,258.1,352,284.9,271.9,359.2,279.4,308.8,299.7,355.8,"1110002L01RIK"
"30","1110002O04Rik",0,0,3.7,0,0,2.1,0.9,0,1,0,0,1,"1110002O04RIK"
"31","1110003F10Rik",17.1,17.5,16.6,15.4,29.1,17,22.1,17.9,15.2,27,11,17.4,"1110003F10RIK"
"32","1110004E09Rik",452.3,449.4,473.2,473.1,433.3,488,495.8,544.2,458.2,441.7,525.1,450.6,"1110004E09RIK"
"33","1110004F10Rik",1286.7,1250.9,1285.7,1175.9,1263.6,1263,1407.3,1175,1369.4,1408.9,1310.9,1165.2,"1110004F10RIK"
"34","1110006O24Rik",12.3,8.7,13.8,16.2,4.9,14.9,12.9,5,11.2,6,8.5,6.8,"1110006O24RIK"
"35","1110008E08Rik",4.7,0,0,2.4,4.9,0,3.7,3,2,1,1.2,0,"1110008E08RIK"
"36","1110008F13Rik",455.1,517.2,458.4,441.5,451.5,498.6,447.9,436.8,527.3,524.6,590.9,454.5,"1110008F13RIK"
"37","1110008L16Rik",102.4,127.9,126.4,90.1,128.7,121.2,144.7,152.2,101.6,136.9,125.5,92.8,"1110008L16RIK"
"38","1110008P14Rik",1975.1,1376.6,1306,1742.4,1496.7,1944.5,1231.3,1201.8,2771.4,1662.7,1697.2,1351.8,"1110008P14RIK"
"39","1110012L19Rik",159.3,162.9,119.9,139.6,154.2,131.8,141,112.4,123.9,145.9,155.9,135.4,"1110012L19RIK"
"40","1110015O18Rik",1.9,1.1,12,6.5,1.2,11.7,3.7,2,4.1,3,1.2,1.9,"1110015O18RIK"
"41","1110017D15Rik",66.4,85.3,50.7,95.8,41.3,70.2,62.7,63.7,78.2,73.9,81.6,87,"1110017D15RIK"
"42","1110018N20Rik",120.4,138.9,110.7,116.1,117.7,126.5,123.5,138.3,133.1,102.9,127.9,87,"1110018N20RIK"
"43","1110019D14Rik",31.3,40.5,58.1,51.9,52.2,42.5,46.1,51.7,58.9,23,36.6,36.7,"1110019D14RIK"
"44","1110020A21Rik",14.2,17.5,3.7,7.3,6.1,13.8,10.1,9,13.2,10,13.4,10.6,"1110020A21RIK"
"45","1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1110025L11RIK"
"46","1110025M09Rik",28.4,19.7,18.4,25.2,15.8,27.6,30.4,29.8,31.5,21,17.1,14.5,"1110025M09RIK"
"47","1110028F11Rik",0,0,0,2.4,0,0,0,0,0,0,1.2,1,"1110028F11RIK"
"48","1110028F18Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1110028F18RIK"
"49","1110032A03Rik",801.2,836.5,1049.6,1010.4,827.8,961.1,781.5,1378.9,1140.9,974.2,947.9,798.7,"1110032A03RIK"
"50","1110032F04Rik",192.5,120.3,135.6,112,145.7,109.5,125.3,151.2,174.7,154.9,118.2,103.5,"1110032F04RIK"
"51","1110034G24Rik",121.4,106.1,128.2,116.1,137.2,99.9,131.8,122.4,126,113.9,121.8,141.2,"1110034G24RIK"
"52","1110035H17Rik",5.7,12,6.5,13.8,9.7,9.6,11.1,8,4.1,10,11,8.7,"1110035H17RIK"
"53","1110036E04Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1110036E04RIK"
"54","1110037F02Rik",739.6,834.3,757.2,797.7,759.9,680.4,734.5,736.2,712.1,727.4,739.5,840.3,"1110037F02RIK"
"55","1110038B12Rik",146,171.7,163.3,167.2,157.8,209.4,196.3,165.1,183.9,156.9,233.9,177.9,"1110038B12RIK"
"56","1110038F14Rik",291.1,305.1,196.5,319.7,276.8,330.6,316.1,221.9,327.1,326.7,327.7,267.8,"1110038F14RIK"
"57","1110046J04Rik",25.6,37.2,24,41.4,17,35.1,43.3,33.8,49.8,25,29.2,31.9,"1110046J04RIK"
"58","1110051M20Rik",2160,2232.8,2389.7,2618,2681.4,2894.9,2794.3,2209.6,2556,2976.7,2691.3,2236.5,"1110051M20RIK"
"59","1110057P08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1110057P08RIK"
"60","1110059E24Rik",202,192.4,211.2,134.7,176,186.1,233.2,161.2,215.4,186.9,235.1,203.1,"1110059E24RIK"
"61","1110059G10Rik",181.1,176,174.3,156.6,184.5,224.3,203.7,174.1,172.7,190.9,162,172.1,"1110059G10RIK"
"62","1110060G06Rik",0,0,0,0,0,0,0,0,0,0,0,1,"1110060G06RIK"
"63","1110065P20Rik",486.4,446.1,301.6,354.6,449.1,620.9,583.4,232.8,587.2,568.6,707.9,525.1,"1110065P20RIK"
"64","1190002N15Rik",432.4,449.4,430.7,346.5,381.1,376.4,390.8,492.5,516.1,447.7,406.9,433.2,"1190002N15RIK"
"65","1190003K10Rik",0,1.1,0,0,0,0,0,0,0,0,0,0,"1190003K10RIK"
"66","1190005I06Rik",1.9,3.3,2.8,5.7,7.3,11.7,1.8,0,3,3,7.3,4.8,"1190005I06RIK"
"67","1190007I07Rik",106.2,110.4,111.6,125.8,115.3,137.1,122.6,96.5,102.6,124.9,103.6,84.1,"1190007I07RIK"
"68","1190028D05Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1190028D05RIK"
"69","1200007C13Rik",0.9,0,0,0,0,0,2.8,0,0,0,0,0,"1200007C13RIK"
"70","1300002E11Rik",158.3,124.6,215.8,172.9,152.9,162.7,112.4,220.9,221.5,133.9,141.3,154.7,"1300002E11RIK"
"71","1300017J02Rik",1.9,2.2,1.8,1.6,1.2,0,1.8,2,7.1,0,1.2,1,"1300017J02RIK"
"72","1500002C15Rik",16.1,37.2,21.2,30.8,18.2,26.6,37.8,10.9,18.3,31,23.1,13.5,"1500002C15RIK"
"73","1500002F19Rik",8.5,10.9,5.5,3.2,4.9,0,5.5,1,11.2,8,9.7,2.9,"1500002F19RIK"
"74","1500004A13Rik",1195.7,1255.2,1461.9,1064.7,1234.5,1108.9,1250.6,1343.1,1175.4,1304,1079.5,1218.3,"1500004A13RIK"
"75","1500005C15Rik",9.5,1.1,0,1.6,2.4,2.1,0,1,2,1,2.4,3.9,"1500005C15RIK"
"76","1500009C09Rik",1760.8,1585.5,1174.1,1587.4,1616.8,1964.7,1822.9,1275.4,2091.7,1915.5,1788.5,1668,"1500009C09RIK"
"77","1500009L16Rik",176.4,189.2,158.6,159.1,172.4,174.4,199.1,110.4,114.8,180.9,169.3,184.7,"1500009L16RIK"
"78","1500011B03Rik",1281,1242.1,2049.4,1589,1590.1,1613.9,1507.7,1935,1664,1714.7,1581.4,1277.3,"1500011B03RIK"
"79","1500011K16Rik",332.8,265.7,334.8,291.3,362.9,372.1,304.1,285.5,348.5,338.7,366.7,294.9,"1500011K16RIK"
"80","1500012K07Rik",6.6,4.4,0.9,0.8,3.6,3.2,6.5,0,4.1,6,2.4,1.9,"1500012K07RIK"
"81","1500015A07Rik",100.5,108.2,72.9,74.7,83.8,106.3,121.7,94.5,90.4,78.9,110.9,81.2,"1500015A07RIK"
"82","1500015L24Rik",13.3,6.6,7.4,4.1,13.4,9.6,12.9,7,13.2,15,11,15.5,"1500015L24RIK"
"83","1500015O10Rik",275,627.6,24.9,453.7,191.8,544.3,33.2,18.9,521.2,14,755.4,1055.9,"1500015O10RIK"
"84","1500017E21Rik",16.1,7.7,18.4,3.2,8.5,12.8,23,38.8,18.3,18,8.5,24.2,"1500017E21RIK"
"85","1500026H17Rik",24.7,24.1,29.5,20.3,37.6,21.3,40.6,9,32.5,20,29.2,26.1,"1500026H17RIK"
"86","1500035N22Rik",11.4,12,10.1,7.3,6.1,2.1,19.4,17.9,9.1,14,8.5,3.9,"1500035N22RIK"
"87","1520401A03Rik",11.4,10.9,1.8,10.6,4.9,17,10.1,6,19.3,10,3.7,11.6,"1520401A03RIK"
"88","1600002D24Rik",0,0,3.7,0,0,0,0,0,0,1,1.2,0,"1600002D24RIK"
"89","1600002H07Rik",205.8,122.5,138.3,153.4,132.3,159.5,166.8,108.4,168.6,192.9,181.5,171.1,"1600002H07RIK"
"90","1600002K03Rik",60.7,52.5,27.7,28.4,32.8,56.3,34.1,18.9,49.8,44,47.5,40.6,"1600002K03RIK"
"91","1600010M07Rik",0,0,0,3.2,1.2,3.2,0.9,0,3,0,1.2,1.9,"1600010M07RIK"
"92","1600012H06Rik",328.1,375,322.8,363.6,366.6,330.6,349.3,374.1,366.7,340.7,347.2,405.1,"1600012H06RIK"
"93","1600012P17Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1600012P17RIK"
"94","1600014C10Rik",535.7,571.9,633.6,532.4,620.3,651.7,615.6,599.9,550.6,653.5,566.5,549.2,"1600014C10RIK"
"95","1600014C23Rik",1.9,4.4,2.8,0.8,2.4,3.2,0,0,1,0,1.2,2.9,"1600014C23RIK"
"96","1600015I10Rik",0,0,0,0,0,2.1,0,0,0,0,0,0,"1600015I10RIK"
"97","1600017P15Rik",0,1.1,0,1.6,0,0,0,0,0,0,0,0,"1600017P15RIK"
"98","1600017P15Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1600017P15RIK"
"99","1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1600019K03RIK"
"100","1600020E01Rik",114.7,158.5,101.5,126.6,160.2,148.8,158.5,105.5,163.6,150.9,168.1,140.2,"1600020E01RIK"
"101","1600023N17Rik",7.6,8.7,5.5,4.1,9.7,5.3,10.1,4,10.2,2,6.1,4.8,"1600023N17RIK"
"102","1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1600025M17RIK"
"103","1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1600027J07RIK"
"104","1600029O15Rik",53.1,65.6,62.7,47.1,70.4,91.4,49.8,78.6,52.8,62,56,74.5,"1600029O15RIK"
"105","1700001C02Rik",22.8,29.5,12,34.1,21.8,39.3,35,17.9,20.3,20,29.2,26.1,"1700001C02RIK"
"106","1700001C19Rik",0,0,0,4.9,1.2,3.2,3.7,2,1,0,2.4,0,"1700001C19RIK"
"107","1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001D01RIK"
"108","1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001F09RIK"
"109","1700001G01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001G01RIK"
"110","1700001G11Rik",2.8,7.7,1.8,1.6,3.6,9.6,2.8,1,5.1,3,2.4,3.9,"1700001G11RIK"
"111","1700001G17Rik",4.7,6.6,7.4,4.9,2.4,6.4,3.7,4,3,14,14.6,2.9,"1700001G17RIK"
"112","1700001J03Rik",3.8,4.4,1.8,5.7,6.1,4.3,3.7,6,6.1,0,3.7,8.7,"1700001J03RIK"
"113","1700001J04Rik",0,0,0,0,0,0,0,4,1,0,0,0,"1700001J04RIK"
"114","1700001J11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001J11RIK"
"115","1700001K19Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001K19RIK"
"116","1700001L05Rik",42.7,42.6,39.7,43,36.4,28.7,39.6,28.9,23.4,41,41.4,39.6,"1700001L05RIK"
"117","1700001L19Rik",134.6,164,168.8,164.7,180.9,170.1,176.9,180.1,204.2,181.9,129.1,139.2,"1700001L19RIK"
"118","1700001N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700001N15RIK"
"119","1700001O22Rik",106.2,85.3,63.6,89.3,146.9,118,69.1,63.7,158.5,96.9,85.3,79.3,"1700001O22RIK"
"120","1700001P01Rik",10.4,4.4,6.5,5.7,3.6,15.9,2.8,5,3,4,4.9,14.5,"1700001P01RIK"
"121","1700003C15Rik",0,0,0,0,0,0,0.9,0,0,0,0,0,"1700003C15RIK"
"122","1700003D09Rik",0.9,1.1,0.9,0,0,0,0,5,0,0,0,1,"1700003D09RIK"
"123","1700003E16Rik",539.5,490.9,495.3,581.9,480.7,557.1,549.3,454.7,583.1,700.5,492.2,557.9,"1700003E16RIK"
"124","1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003E24RIK"
"125","1700003F12Rik",5.7,3.3,4.6,0.8,3.6,17,9.2,3,8.1,1,2.4,4.8,"1700003F12RIK"
"126","1700003G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003G13RIK"
"127","1700003G18Rik",0.9,0,0,0.8,0,0,0,0,0,0,0,0,"1700003G18RIK"
"128","1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003H04RIK"
"129","1700003I16Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003I16RIK"
"130","1700003I22Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003I22RIK"
"131","1700003L19Rik",1.9,0,0,0,0,0,0,1,0,0,0,0,"1700003L19RIK"
"132","1700003M07Rik",109,110.4,69.2,69,106.8,94.6,92.2,73.6,92.4,103.9,91.4,89,"1700003M07RIK"
"133","1700003N22Rik",0,0,0,0,0,1.1,0,0,0,0,0,0,"1700003N22RIK"
"134","1700003P14Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700003P14RIK"
"135","1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700006A11RIK"
"136","1700006E09Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700006E09RIK"
"137","1700006F04Rik",0.9,0,0,0,0,1.1,0,0,1,0,1.2,0,"1700006F04RIK"
"138","1700006H21Rik",0,0,0,0,0,0,0,0,2,0,0,0,"1700006H21RIK"
"139","1700006J14Rik",0,0,2.8,0,0,0,0,0,0,0,0,0,"1700006J14RIK"
"140","1700006P03Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700006P03RIK"
"141","1700007B14Rik",1.9,1.1,4.6,3.2,7.3,1.1,0.9,4,4.1,8,3.7,1.9,"1700007B14RIK"
"142","1700007E05Rik",2.8,14.2,14.8,13,6.1,3.2,2.8,6,4.1,2,23.1,4.8,"1700007E05RIK"
"143","1700007F19Rik",2.8,0,0.9,0.8,1.2,0,0,0,2,0,0,0,"1700007F19RIK"
"144","1700007G11Rik",3.8,33.9,12,17,26.7,23.4,17.5,17.9,10.2,10,11,7.7,"1700007G11RIK"
"145","1700007J10Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700007J10RIK"
"146","1700007K09Rik",3.8,0,1.8,2.4,2.4,3.2,7.4,13.9,4.1,5,1.2,5.8,"1700007K09RIK"
"147","1700007K13Rik",82.5,105,34.1,129,43.7,93.6,82.9,62.7,98.5,68.9,119.4,108.3,"1700007K13RIK"
"148","1700007L15Rik",8.5,3.3,1.8,4.1,7.3,3.2,4.6,9,2,3,0,8.7,"1700007L15RIK"
"149","1700007M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700007M16RIK"
"150","1700007P06Rik",7.6,7.7,0.9,4.9,18.2,5.3,4.6,3,5.1,2,3.7,1,"1700007P06RIK"
"151","1700008A23Rik",2.8,8.7,0.9,3.2,2.4,10.6,3.7,6,10.2,1,6.1,1,"1700008A23RIK"
"152","1700008B11Rik",0.9,0,0,0,0,1.1,0,0,0,0,0,0,"1700008B11RIK"
"153","1700008H02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700008H02RIK"
"154","1700008J07Rik",78.7,89.7,83.9,97.4,72.8,85.1,60.8,92.5,79.2,72.9,74.3,81.2,"1700008J07RIK"
"155","1700008K24Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700008K24RIK"
"156","1700008N11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700008N11RIK"
"157","1700008O03Rik",33.2,45.9,40.6,52.8,44.9,30.8,38.7,53.7,34.5,34,45.1,35.8,"1700008O03RIK"
"158","1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700008P02RIK"
"159","1700009C05Rik",0,0,0,0.8,0,0,1.8,0,0,0,0,1.9,"1700009C05RIK"
"160","1700009J07Rik",0.9,0,0.9,2.4,3.6,1.1,0,0,1,2,0,1,"1700009J07RIK"
"161","1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700009N14RIK"
"162","1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700010B08RIK"
"163","1700010B13Rik",1.9,1.1,3.7,1.6,3.6,0,0,2,1,2,1.2,0,"1700010B13RIK"
"164","1700010D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700010D01RIK"
"165","1700010H22Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700010H22RIK"
"166","1700010I02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700010I02RIK"
"167","1700010I14Rik",23.7,18.6,18.4,39.8,36.4,34,26.7,25.9,18.3,22,31.7,17.4,"1700010I14RIK"
"168","1700010J16Rik",0,0,0,0,0,1.1,0,0,0,0,0,0,"1700010J16RIK"
"169","1700010K23Rik",0,0,0.9,0,0,0,0,0,0,0,0,0,"1700010K23RIK"
"170","1700010K24Rik",4.7,1.1,0,2.4,1.2,0,1.8,0,0,0,1.2,0,"1700010K24RIK"
"171","1700010L04Rik",0,0,0,0,0,0,0.9,0,0,0,0,0,"1700010L04RIK"
"172","1700010N08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700010N08RIK"
"173","1700011B04Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700011B04RIK"
"174","1700011C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700011C11RIK"
"175","1700011D18Rik",0.9,1.1,0,0,0,3.2,0,0,1,3,0,0,"1700011D18RIK"
"176","1700011H14Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700011H14RIK"
"177","1700011I03Rik",1.9,1.1,2.8,0.8,1.2,1.1,3.7,0,5.1,0,0,1,"1700011I03RIK"
"178","1700011L03Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700011L03RIK"
"179","1700011L22Rik",0,0,0,0.8,0,0,0.9,0,0,1,0,0,"1700011L22RIK"
"180","1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700011M02RIK"
"181","1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012A03RIK"
"182","1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012B07RIK"
"183","1700012B09Rik",19,18.6,6.5,16.2,7.3,26.6,34.1,11.9,13.2,13,7.3,27.1,"1700012B09RIK"
"184","1700012C08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012C08RIK"
"185","1700012C14Rik",0,2.2,5.5,0.8,3.6,7.4,0.9,10.9,2,0,1.2,0,"1700012C14RIK"
"186","1700012D14Rik",24.7,39.4,49.8,29.2,36.4,24.5,45.2,40.8,50.8,51,36.6,35.8,"1700012D14RIK"
"187","1700012D16Rik",0,0,0,0.8,0,0,0,0,0,0,0,0,"1700012D16RIK"
"188","1700012E03Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012E03RIK"
"189","1700012I11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012I11RIK"
"190","1700012J22Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700012J22RIK"
"191","1700012P22Rik",1.9,0,0.9,1.6,1.2,3.2,3.7,0,0,2,0,1,"1700012P22RIK"
"192","1700013A02Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013A02RIK"
"193","1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013D24RIK"
"194","1700013F07Rik",60.7,92.9,43.3,87.6,59.5,78.7,96.8,76.6,72.1,65.9,96.2,70.6,"1700013F07RIK"
"195","1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013G24RIK"
"196","1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013H16RIK"
"197","1700013M08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013M08RIK"
"198","1700013N06Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700013N06RIK"
"199","1700014D04Rik",14.2,8.7,5.5,6.5,18.2,5.3,13.8,9.9,7.1,3,3.7,7.7,"1700014D04RIK"
"200","1700014F14Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700014F14RIK"
"201","1700014L14Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700014L14RIK"
"202","1700015C17Rik",0,0,0,0,0,0,0,0,0,2,0,0,"1700015C17RIK"
"203","1700015E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700015E13RIK"
"204","1700015F17Rik",0,0,0,0,2.4,0,0.9,0,1,0,0,0,"1700015F17RIK"
"205","1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700015G11RIK"
"206","1700015O11Rik",0,0,0,1.6,0,0,0,0,0,0,0,0,"1700015O11RIK"
"207","1700016A09Rik",14.2,15.3,15.7,8.1,21.8,20.2,9.2,5,10.2,19,15.8,17.4,"1700016A09RIK"
"208","1700016B15Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016B15RIK"
"209","1700016C15Rik",0,2.2,0.9,0.8,0,1.1,0.9,0,0,0,0,0,"1700016C15RIK"
"210","1700016D06Rik",0,1.1,0,0,0,0,0,0,0,0,0,0,"1700016D06RIK"
"211","1700016D08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016D08RIK"
"212","1700016F12Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016F12RIK"
"213","1700016G14Rik",2.8,0,8.3,3.2,1.2,12.8,5.5,8,7.1,4,2.4,6.8,"1700016G14RIK"
"214","1700016G22Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016G22RIK"
"215","1700016H13Rik",0,0,0,0,0,0,0,0,1,0,0,0,"1700016H13RIK"
"216","1700016K19Rik",65.4,97.3,60.9,97.4,55.8,112.7,59,88.5,78.2,74.9,68.2,60.9,"1700016K19RIK"
"217","1700016L21Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016L21RIK"
"218","1700016P03Rik",100.5,92.9,89.5,91.7,117.7,163.7,102.3,107.4,264.1,170.9,166.9,98.6,"1700016P03RIK"
"219","1700016P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700016P04RIK"
"220","1700017B05Rik",532.9,504.1,591.2,631.4,719.8,677.2,621.2,479.5,422.6,761.4,634.8,668.2,"1700017B05RIK"
"221","1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700017D01RIK"
"222","1700017G19Rik",0,0,0,0,0,0,0,0,1,0,0,0,"1700017G19RIK"
"223","1700017I07Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700017I07RIK"
"224","1700017J07Rik",0.9,0,0,0,2.4,0,0,0,0,0,1.2,0,"1700017J07RIK"
"225","1700017L05Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700017L05RIK"
"226","1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700017N19RIK"
"227","1700018A04Rik",0,4.4,4.6,7.3,0,0,1.8,4,4.1,1,0,0,"1700018A04RIK"
"228","1700018A14Rik",0,1.1,0,0,2.4,0,0,1,0,0,0,0,"1700018A14RIK"
"229","1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700018B08RIK"
"230","1700018B24Rik",0.9,0,0,0,0,2.1,0,3,0,0,0,0,"1700018B24RIK"
"231","1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700018C11RIK"
"232","1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700018F24RIK"
"233","1700018G05Rik",0,0,0,0,0,0,0,0,0,0,0,0,"1700018G05RIK"
"234","1700018L02Rik",15.2,35,17.5,23.5,14.6,27.6,12,13.9,20.3,13,21.9,11.6,"1700018L02RIK"
"235","1700018M17Rik",0,0,0,0,0,2.1,0,0,1,0,0,0,"1700018M17RIK"
"236","1700019A02Rik",10.4,3.3,0.9,9.7,0,2.1,4.6,3,4.1,0,3.7,1.9,"1700019A02RIK"
