"","Symbol","HET_ZN_E138_17_S23_rev.normalised","HET_ZN_E141_15_S21_rev.normalised","HET_ZN_E142_19_S25_rev.normalised","HET_ZN_E181_23_S29_rev.normalised","HET_ZN_E54_3_S9_rev.normalised","HET_ZN_E55_7_S13_rev.normalised","HET_ZN_E79_11_S17_rev.normalised","WT_ZN_E158_21_S27_rev.normalised","WT_ZN_E56_1_S7_rev.normalised","WT_ZN_E81_5_S11_rev.normalised","WT_ZN_E82_9_S15_rev.normalised","WT_ZN_E83_13_S19_rev.normalised","gene_symbol"
"43378","Rraga",1402.4,1267.3,1510.8,1316.3,1422.6,1377.8,1561.2,1583.8,1320.7,1551.8,1412.1,1300.5,"RRAGA"
"43379","Rragb",1082.8,1118.6,1114.2,919.5,1199.3,929.2,1343.7,1044.6,969.2,1211.1,1081.9,1053,"RRAGB"
"43380","Rragc",1145.4,1062.8,1214.7,984.4,1132.5,953.6,1052.5,1060.5,1087,1088.2,963.7,950.5,"RRAGC"
"43381","Rragd",1355,1569.1,1660.2,1198.6,1472.4,1165.2,1516,1451.5,1218.1,1293,1250,1359.5,"RRAGD"
"43382","Rras",192.5,200.1,165.1,252.4,182.1,229.6,183.4,180.1,220.4,175.9,190.1,170.2,"RRAS"
"43383","Rras2",357.5,339,368.9,321.4,347.2,350.8,361.3,377.1,408.4,379.7,404.5,364.5,"RRAS2"
"43384","Rrbp1",1786.4,1921.1,1689.7,2032.1,1494.2,1808.4,1475.5,1507.2,1774.8,1254,1587.5,1747.3,"RRBP1"
"43385","Rreb1",3111.9,2795.9,3648.7,2730,3971.7,4837.3,5139.7,3428.4,2503.2,3274.5,5734.7,3928.7,"RREB1"
"43386","Rrh",1.9,36.1,5.5,21.1,20.6,13.8,3.7,4,21.3,4,21.9,13.5,"RRH"
"43387","Rrm1",257.9,238.4,235.2,224,253.7,168,267.3,256.7,240.8,246.8,238.8,254.3,"RRM1"
"43388","Rrm2",22.8,6.6,21.2,14.6,27.9,14.9,24,16.9,9.1,14,12.2,15.5,"RRM2"
"43389","Rrm2b",774.7,747.9,841.2,747.4,907.9,658.1,870,824.8,670.5,738.4,788.3,717.5,"RRM2B"
"43390","Rrn3",1078.1,1001.6,1160.3,1042,1041.5,1018.5,1048.8,1091.4,1159.1,1097.1,1007.6,1004.7,"RRN3"
"43391","Rrnad1",1294.3,1145.9,1437,1273.3,1241.8,1334.2,1152,1475.4,1278,1094.1,1438.9,1301.5,"RRNAD1"
"43392","Rrp1",6755.8,6404.2,7674.7,7635.8,6858.2,7747.1,7042.8,8108.3,7414,7817.9,7204.1,6390.5,"RRP1"
"43393","Rrp12",775.6,782.9,690.8,807.5,702.8,675.1,673.7,562.1,596.3,799.4,666.4,793.9,"RRP12"
"43394","Rrp15",218.1,219.8,268.4,246.7,228.2,215.8,222.1,229.8,225.5,228.8,179.1,212.7,"RRP15"
"43395","Rrp1b",363.2,326.9,334.8,361.9,345.9,360.4,368.6,340.2,381,353.7,455.7,422.6,"RRP1B"
"43396","Rrp36",334.7,273.4,214,297,250,374.2,264.5,235.8,261.1,316.8,339.9,303.6,"RRP36"
"43397","Rrp7a",2003.5,1877.4,1682.3,2218.7,1998,2258.1,2104.9,1677.4,2252.2,2502.1,2171.1,2030.6,"RRP7A"
"43398","Rrp8",255.1,251.5,252.7,227.2,208.8,197.7,141.9,212.9,187.9,224.8,203.5,281.4,"RRP8"
"43399","Rrp9",509.2,462.5,255.5,422,401.8,553.9,423.9,300.5,440.9,458.6,527.5,394.5,"RRP9"
"43400","Rrs1",421,383.8,380,466.6,372.6,427.4,392.6,539.2,393.2,449.7,411.8,401.3,"RRS1"
"43401","Rs1",18,13.1,4.6,23.5,4.9,5.3,7.4,2,8.1,4,4.9,6.8,"RS1"
"43402","Rsad1",227.6,309.4,243.5,245.1,236.7,222.2,234.1,258.7,257,201.8,224.2,232.1,"RSAD1"
"43403","Rsad2",43.6,30.6,28.6,37.3,26.7,40.4,41.5,33.8,41.7,19,12.2,16.4,"RSAD2"
"43404","Rsbn1",544.3,486.6,650.2,469.1,511,391.2,499.5,581,507.9,420.7,498.3,635.3,"RSBN1"
"43405","Rsbn1l",499.7,431.9,709.3,486.1,535.3,393.4,463.6,734.2,522.2,351.7,469.1,505.7,"RSBN1L"
"43406","Rsc1a1",0,0,0,0,0,0,0,0,0,0,0,0,"RSC1A1"
"43407","Rsf1",959.6,1141.5,1317.1,1102.1,1029.3,846.3,1123.4,1341.1,1016.9,935.3,1023.4,1083.9,"RSF1"
"43408","Rsf1os1",0,1.1,0,0,0,0,0,0,0,0,0,0,"RSF1OS1"
"43409","Rsf1os2",2.8,0,0,0,1.2,0,5.5,0,0,1,0,0,"RSF1OS2"
"43410","Rsg1",13.3,19.7,12,16.2,20.6,9.6,20.3,16.9,23.4,16,28,22.2,"RSG1"
"43411","Rsl1",56.9,67.8,53.5,47.1,68,39.3,53.5,48.7,63,45,48.7,56.1,"RSL1"
"43412","Rsl1d1",1020.2,961.1,1349.4,966.5,1040.3,1116.3,1044.2,1386.9,1290.2,1110.1,1022.2,952.4,"RSL1D1"
"43413","Rsl24d1",237,225.2,196.5,183.4,210,208.4,262.7,180.1,296.6,213.8,264.4,221.4,"RSL24D1"
